id,cast
1,"[{'name': 'Keanu Reeves', 'character': 'Neo'}, {'name': 'Carrie-Anne Moss', 'character': 'Trinity'}, {'name': 'Laurence Fishburne', 'character': 'Morpheus'}]"
2,"[{'name': 'Keanu Reeves', 'character': 'John Wick'}, {'name': 'Ian McShane', 'character': 'Winston'}]"
3,"[{'name': 'Keanu Reeves', 'character': 'Jack Traven'}, {'name': 'Sandra Bullock', 'character': 'Annie'}]"
4,"[{'name': 'Tom Hanks', 'character': 'Chuck Noland'}]"
5,"[{'name': 'Tom Hanks', 'character': 'Forrest Gump'}, {'name': 'Robin Wright', 'character': 'Jenny'}]"
6,"[{'name': 'Meryl Streep', 'character': 'Miranda Priestly'}, {'name': 'Anne Hathaway', 'character': 'Andy'}]"
7,"[{'name': 'Meryl Streep', 'character': 'Donna'}, {'name': 'Amanda Seyfried', 'character': 'Sophie'}]"
8,"[{'name': 'Emma Thompson', 'character': 'Beatrice'}, {'name': 'Kenneth Branagh', 'character': 'Benedick'}]"
9,"[{'name': 'Sandra Bullock', 'character': 'Margaret'}, {'name': 'Ryan Reynolds', 'character': 'Andrew'}]"
10,"[{'name': 'Sandra Bullock', 'character': 'Kate'}, {'name': 'Keanu Reeves', 'character': 'Alex'}]"
11,"[{'name': 'Sandra Bullock', 'character': 'Annie'}, {'name': 'Jason Patric', 'character': 'Alex'}]"
12,"[{'name': 'Keanu Reeves', 'character': 'Evan'}, {'name': 'Ana de Armas', 'character': 'Genesis'}]"
13,"[{'name': 'Keanu Reeves', 'character': 'Shane Falco'}, {'name': 'Gene Hackman', 'character': 'Coach'}]"
14,"[{'name': 'Keanu Reeves', 'character': 'Paul'}, {'name': 'Anthony Quinn', 'character': 'Don Pedro'}]"
15,"[{'name': 'Anne Hathaway', 'character': 'Jabez Stone'}, {'name': 'Anthony Quinn', 'character': 'Daniel Webster'}]"
