id,title,release_date,runtime,vote_average,genres
1,The Matrix,1999-03-31,136,8.7,"[{'id': 878, 'name': 'Sci-Fi'}]"
2,John Wick,2014-10-24,101,7.4,"[{'id': 28, 'name': 'Action'}]"
3,Speed,1994-06-10,116,7.2,"[{'id': 28, 'name': 'Action'}]"
4,Cast Away,2000-12-22,143,7.8,"[{'id': 18, 'name': 'Drama'}]"
5,Forrest Gump,1994-07-06,142,8.8,"[{'id': 18, 'name': 'Drama'}]"
6,The Devil Wears Prada,2006-06-30,109,6.9,"[{'id': 35, 'name': 'Comedy'}]"
7,Mamma Mia,2008-07-10,108,6.4,"[{'id': 35, 'name': 'Comedy'}]"
8,Much Ado About Nothing,1993-05-07,111,7.3,"[{'id': 35, 'name': 'Comedy'}]"
9,The Proposal,2009-06-19,108,6.7,"[{'id': 35, 'name': 'Comedy'}]"
10,The Lake House,2006-06-16,99,6.8,"[{'id': 10749, 'name': 'Romance'}]"
11,Speed 2 Cruise Control,1997-06-13,125,3.6,"[{'id': 28, 'name': 'Action'}]"
12,Knock Knock,2015-10-09,99,5.1,"[{'id': 53, 'name': 'Thriller'}]"
13,The Replacements,2000-08-18,118,6.4,"[{'id': 35, 'name': 'Comedy'}]"
14,A Walk in the Clouds,1995-08-11,102,6.6,"[{'id': 10749, 'name': 'Romance'}]"
15,The Devil and Daniel Webster,1941-10-16,107,7.5,"[{'id': 14, 'name': 'Drama'}]"
